dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,pca8,SG-BSCM,2,16,0.12997601464010097,34,1766
so2sat,pca8,BSCM-uniform,2,16,0.13340288239058448,34,1766
so2sat,pca8,SRQFM-fid,2,16,0.13878214919229587,34,1766
so2sat,pca8,RBF-SVM,2,16,0.12259303843234245,34,1766
so2sat,pca8,RandomForest,2,16,0.1287705929806491,34,1766
so2sat,pca8,SG-BSCM,2,17,0.09521084663246006,34,1766
so2sat,pca8,BSCM-uniform,2,17,0.09260923965687441,34,1766
so2sat,pca8,SRQFM-fid,2,17,0.08728588481666663,34,1766
so2sat,pca8,RBF-SVM,2,17,0.08440282687078601,34,1766
so2sat,pca8,RandomForest,2,17,0.11902453334152305,34,1766
so2sat,pca8,SG-BSCM,2,18,0.13525953701404755,34,1766
so2sat,pca8,BSCM-uniform,2,18,0.13413256668504497,34,1766
so2sat,pca8,SRQFM-fid,2,18,0.13098133239367085,34,1766
so2sat,pca8,RBF-SVM,2,18,0.13665975345926212,34,1766
so2sat,pca8,RandomForest,2,18,0.13754199846140125,34,1766
so2sat,pca8,SG-BSCM,2,19,0.10151826697238638,34,1766
so2sat,pca8,BSCM-uniform,2,19,0.09583987865268617,34,1766
so2sat,pca8,SRQFM-fid,2,19,0.10445570977004415,34,1766
so2sat,pca8,RBF-SVM,2,19,0.12928025254421058,34,1766
so2sat,pca8,RandomForest,2,19,0.15222334068698398,34,1766
so2sat,pca8,SG-BSCM,5,0,0.12494310798043445,85,1715
so2sat,pca8,BSCM-uniform,5,0,0.12316916574670592,85,1715
so2sat,pca8,SRQFM-fid,5,0,0.12683740753466874,85,1715
so2sat,pca8,RBF-SVM,5,0,0.1082229350048578,85,1715
so2sat,pca8,RandomForest,5,0,0.14399303763855162,85,1715
so2sat,pca8,SG-BSCM,5,1,0.12352353750802823,85,1715
so2sat,pca8,BSCM-uniform,5,1,0.12294047793926577,85,1715
so2sat,pca8,SRQFM-fid,5,1,0.12262336247979032,85,1715
so2sat,pca8,RBF-SVM,5,1,0.14275832539964126,85,1715
so2sat,pca8,RandomForest,5,1,0.150916350393268,85,1715
so2sat,pca8,SG-BSCM,5,2,0.1305394941528759,85,1715
so2sat,pca8,BSCM-uniform,5,2,0.120715778889121,85,1715
so2sat,pca8,SRQFM-fid,5,2,0.11365298552783433,85,1715
so2sat,pca8,RBF-SVM,5,2,0.14304601728326335,85,1715
so2sat,pca8,RandomForest,5,2,0.15265394143460084,85,1715
so2sat,pca8,SG-BSCM,5,3,0.1436175178648067,85,1715
so2sat,pca8,BSCM-uniform,5,3,0.12021527843560839,85,1715
so2sat,pca8,SRQFM-fid,5,3,0.14383501673351493,85,1715
so2sat,pca8,RBF-SVM,5,3,0.1439415534866321,85,1715
